18:17:58.369 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Octavia Oliver owns this vehicle factory.
18:17:58.387 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - **********************************
18:17:58.387 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Current inventory: [50 Sheets of Paper]
18:17:58.387 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Isabel Iviola Inspects.
18:17:58.387 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Green Toyota Camry SE Nightshade
18:17:58.388 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Moving Forward
18:17:58.388 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Moving Backward
18:17:58.388 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Turning Left
18:17:58.388 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Turning Right
18:17:58.388 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Changing Gear to 2
18:17:58.388 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Braking
18:17:58.389 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - [50 Sheets of Paper] Used.
18:17:58.389 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - **********************************
18:17:58.389 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Current inventory: 
18:17:58.389 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - ***********END OF PROCESS FOR VEHICLE************
18:17:58.389 [main] FATAL main.java.com.solvd.vehiclefactory.Runner - Inventory Item [4 Metal Door] Not Found. FATAL ERROR:Inventory is insufficient for continuing production of vehicle.
18:17:58.389 [main] FATAL main.java.com.solvd.vehiclefactory.Runner - Inventory Item [4 Metal Door] Not Found. FATAL ERROR:Inventory is insufficient for continuing production of vehicle.
18:17:58.391 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Blue is not a valid color selection for a vehicle.
18:17:58.392 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - 8 is not a valid selection for a series for a Streetfighter vehicle
18:17:58.392 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Good News! We can produce vehicle VIN8567832 Brown Ducati Streetfighter V2 and it's been added to vehicles in production
18:17:58.393 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Good News! We can produce vehicle VIN6478932 Maroon Honda Accord Sport 2.0T and it's been added to vehicles in production
18:17:58.393 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Chevrolet is not a valid selection for a make.
18:17:58.395 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Pixie is not a valid selection for a model for a Honda vehicle.
18:17:58.395 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Good News! We can produce vehicle VIN0234322 Yellow Honda Fit Sport and it's been added to vehicles in production
18:17:58.398 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Good News! We can produce vehicle VIN6774562 White Toyota Yaris Hatchback and it's been added to vehicles in production
